SITEID,COUNTYID,DATACREATIONDATE,PSI
264,64000,13-8 -16,94.0
265,64000,13-8 -16,29.0
266,64000,13-8 -16,21.0
209,64000,13-8 -16,15.0
267,64000,13-8 -16,24.0
268,10013,13-8 -16,22.0
269,10013,13-8 -16,28.0
270,10013,13-8 -16,24.0
271,10014,13-8 -16,10.0
272,10015,13-8 -16,13.0
271,10014,11-8 -16,15.0
272,10015,11-8 -16,8.0
283,65000,09-8 -16,31.0
284,65000,09-8 -16,35.0
285,65000,09-8 -16,27.0
286,63000,09-8 -16,25.0
244,66000,09-8 -16,33.0
245,66000,09-8 -16,41.0
259,67000,09-8 -16,24.0
206,64000,09-8 -16,28.0
261,64000,09-8 -16,37.0
295,10004,16-8 -16,23.0
243,66000,16-8 -16,24.0
206,64000,30-8 -16,75.0
261,64000,30-8 -16,58.0
207,64000,30-8 -16,64.0
262,64000,30-8 -16,68.0
290,63000,28-8 -16,46.0
201,63000,28-8 -16,56.0
291,68000,28-8 -16,48.0
292,68000,28-8 -16,52.0
202,68000,28-8 -16,53.0
293,68000,28-8 -16,48.0
294,68000,28-8 -16,54.0
295,10004,28-8 -16,52.0
296,10004,28-8 -16,59.0
297,10018,28-8 -16,59.0
203,10005,28-8 -16,56.0
241,10005,28-8 -16,54.0
242,10005,28-8 -16,46.0
243,66000,28-8 -16,36.0
244,66000,28-8 -16,54.0
245,66000,28-8 -16,49.0
246,66000,28-8 -16,43.0
247,66000,28-8 -16,52.0
248,10007,28-8 -16,52.0
204,10007,28-8 -16,52.0
249,10007,28-8 -16,56.0
250,10008,28-8 -16,54.0
251,10009,28-8 -16,52.0
252,10009,28-8 -16,56.0
253,10010,28-8 -16,59.0
254,10010,28-8 -16,66.0
205,10009,28-8 -16,55.0
255,10020,28-8 -16,57.0
256,67000,28-8 -16,58.0
257,67000,28-8 -16,54.0
258,67000,28-8 -16,60.0
259,67000,28-8 -16,57.0
221,10016,29-8 -16,70.0
251,10009,30-8 -16,64.0
252,10009,30-8 -16,63.0
253,10010,30-8 -16,71.0
254,10010,30-8 -16,75.0
205,10009,30-8 -16,60.0
255,10020,30-8 -16,66.0
256,67000,30-8 -16,62.0
257,67000,30-8 -16,41.0
258,67000,30-8 -16,55.0
259,67000,30-8 -16,54.0
260,64000,30-8 -16,37.0
263,64000,30-8 -16,38.0
264,64000,30-8 -16,52.0
265,64000,30-8 -16,50.0
266,64000,30-8 -16,54.0
209,64000,30-8 -16,42.0
267,64000,30-8 -16,48.0
268,10013,30-8 -16,43.0
269,10013,30-8 -16,39.0
270,10013,30-8 -16,52.0
271,10014,30-8 -16,37.0
272,10015,30-8 -16,41.0
210,63000,30-8 -16,50.0
273,10002,30-8 -16,52.0
274,10002,30-8 -16,52.0
211,65000,30-8 -16,52.0
212,68000,30-8 -16,54.0
275,10008,30-8 -16,64.0
213,65000,30-8 -16,44.0
214,64000,30-8 -16,41.0
215,10008,30-8 -16,56.0
218,9007,30-8 -16,59.0
281,65000,29-8 -16,56.0
282,65000,29-8 -16,58.0
283,65000,29-8 -16,54.0
284,65000,29-8 -16,59.0
285,65000,29-8 -16,54.0
286,63000,29-8 -16,57.0
287,63000,29-8 -16,50.0
288,63000,29-8 -16,52.0
289,63000,29-8 -16,54.0
290,63000,29-8 -16,51.0
201,63000,29-8 -16,60.0
291,68000,29-8 -16,70.0
292,68000,29-8 -16,60.0
202,68000,29-8 -16,62.0
293,68000,29-8 -16,70.0
294,68000,29-8 -16,79.0
295,10004,29-8 -16,81.0
296,10004,29-8 -16,78.0
297,10018,29-8 -16,90.0
203,10005,29-8 -16,99.0
241,10005,29-8 -16,86.0
242,10005,29-8 -16,67.0
243,66000,29-8 -16,57.0
244,66000,29-8 -16,84.0
245,66000,29-8 -16,76.0
246,66000,29-8 -16,75.0
247,66000,29-8 -16,72.0
248,10007,29-8 -16,74.0
204,10007,29-8 -16,91.0
249,10007,29-8 -16,76.0
250,10008,29-8 -16,64.0
251,10009,29-8 -16,78.0
252,10009,29-8 -16,73.0
253,10010,29-8 -16,71.0
254,10010,29-8 -16,72.0
205,10009,29-8 -16,94.0
285,65000,26-8 -16,28.0
286,63000,26-8 -16,31.0
287,63000,26-8 -16,30.0
288,63000,26-8 -16,25.0
289,63000,26-8 -16,23.0
290,63000,26-8 -16,28.0
201,63000,26-8 -16,43.0
291,68000,26-8 -16,33.0
292,68000,26-8 -16,33.0
202,68000,26-8 -16,41.0
293,68000,26-8 -16,36.0
294,68000,26-8 -16,46.0
295,10004,26-8 -16,31.0
296,10004,26-8 -16,41.0
297,10018,26-8 -16,32.0
203,10005,26-8 -16,42.0
241,10005,26-8 -16,49.0
242,10005,26-8 -16,42.0
243,66000,26-8 -16,41.0
244,66000,26-8 -16,51.0
245,66000,26-8 -16,54.0
246,66000,26-8 -16,47.0
247,66000,26-8 -16,49.0
248,10007,26-8 -16,51.0
204,10007,26-8 -16,42.0
249,10007,26-8 -16,54.0
250,10008,26-8 -16,60.0
251,10009,26-8 -16,52.0
252,10009,26-8 -16,46.0
253,10010,26-8 -16,51.0
254,10010,26-8 -16,52.0
205,10009,26-8 -16,40.0
255,10020,26-8 -16,54.0
256,67000,26-8 -16,49.0
257,67000,26-8 -16,45.0
258,67000,26-8 -16,42.0
259,67000,26-8 -16,40.0
280,65000,26-8 -16,47.0
281,65000,26-8 -16,48.0
282,65000,26-8 -16,43.0
283,65000,26-8 -16,40.0
284,65000,26-8 -16,43.0
220,9020,30-8 -16,67.0
221,10016,30-8 -16,33.0
223,10014,30-8 -16,33.0
367625,10009,30-8 -16,61.0
276,10017,30-8 -16,53.0
277,65000,30-8 -16,42.0
278,65000,30-8 -16,55.0
279,65000,30-8 -16,48.0
280,65000,30-8 -16,42.0
281,65000,30-8 -16,43.0
282,65000,30-8 -16,42.0
283,65000,30-8 -16,44.0
284,65000,30-8 -16,56.0
285,65000,30-8 -16,43.0
286,63000,30-8 -16,53.0
287,63000,30-8 -16,
288,63000,30-8 -16,46.0
289,63000,30-8 -16,45.0
290,63000,30-8 -16,47.0
201,63000,30-8 -16,52.0
291,68000,30-8 -16,50.0
292,68000,30-8 -16,54.0
202,68000,30-8 -16,51.0
293,68000,30-8 -16,52.0
294,68000,30-8 -16,52.0
295,10004,30-8 -16,53.0
296,10004,30-8 -16,51.0
297,10018,30-8 -16,54.0
203,10005,30-8 -16,54.0
241,10005,30-8 -16,60.0
242,10005,30-8 -16,62.0
243,66000,30-8 -16,60.0
244,66000,30-8 -16,62.0
245,66000,30-8 -16,60.0
270,10013,23-8 -16,29.0
271,10014,23-8 -16,25.0
272,10015,23-8 -16,25.0
210,63000,23-8 -16,18.0
273,10002,23-8 -16,28.0
274,10002,23-8 -16,28.0
211,65000,23-8 -16,32.0
212,68000,23-8 -16,29.0
275,10008,23-8 -16,51.0
213,65000,23-8 -16,16.0
214,64000,23-8 -16,32.0
215,10008,23-8 -16,49.0
218,9007,23-8 -16,26.0
220,9020,23-8 -16,41.0
221,10016,23-8 -16,19.0
223,10014,23-8 -16,20.0
367625,10009,23-8 -16,58.0
276,10017,23-8 -16,12.0
277,65000,23-8 -16,14.0
278,65000,23-8 -16,14.0
279,65000,23-8 -16,13.0
280,65000,23-8 -16,18.0
281,65000,23-8 -16,21.0
282,65000,23-8 -16,18.0
283,65000,23-8 -16,17.0
284,65000,23-8 -16,22.0
285,65000,23-8 -16,19.0
286,63000,23-8 -16,26.0
287,63000,23-8 -16,12.0
288,63000,23-8 -16,20.0
289,63000,23-8 -16,15.0
290,63000,23-8 -16,19.0
201,63000,23-8 -16,31.0
291,68000,23-8 -16,28.0
292,68000,23-8 -16,23.0
202,68000,23-8 -16,33.0
293,68000,23-8 -16,22.0
294,68000,23-8 -16,26.0
260,64000,24-8 -16,44.0
206,64000,24-8 -16,47.0
261,64000,24-8 -16,50.0
207,64000,24-8 -16,52.0
263,64000,24-8 -16,38.0
264,64000,24-8 -16,54.0
265,64000,24-8 -16,42.0
266,64000,24-8 -16,45.0
209,64000,24-8 -16,47.0
267,64000,24-8 -16,47.0
268,10013,24-8 -16,46.0
269,10013,24-8 -16,56.0
270,10013,24-8 -16,46.0
272,10015,24-8 -16,37.0
210,63000,24-8 -16,31.0
273,10002,24-8 -16,31.0
274,10002,24-8 -16,33.0
211,65000,24-8 -16,45.0
212,68000,24-8 -16,49.0
275,10008,24-8 -16,69.0
213,65000,24-8 -16,30.0
214,64000,24-8 -16,36.0
215,10008,24-8 -16,76.0
218,9007,24-8 -16,44.0
220,9020,24-8 -16,
221,10016,24-8 -16,38.0
223,10014,24-8 -16,27.0
367625,10009,24-8 -16,64.0
276,10017,24-8 -16,33.0
