﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),風速 WIND_SPEED (m/sec),溫度 AMB_TEMP (℃),相對濕度 RH (percent) 
3741.0,南投縣,2015/01/05,竹山,2.8,0.49,29.6,63.0,34.07998289136014,18.82,2.9,15.92,1.12,18.62,63.1
3742.0,南投縣,2015/01/04,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,52.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3743.0,南投縣,2015/01/04,南投,2.8,0.68,23.4,89.0,34.07998289136014,24.96,5.41,19.54,1.21,17.97,68.28
3744.0,南投縣,2015/01/04,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,56.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3745.0,南投縣,2015/01/04,埔里,1.8,0.61,29.1,71.0,34.07998289136014,19.28,2.76,16.52,1.2,16.54,66.12
3746.0,南投縣,2015/01/04,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,64.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3747.0,南投縣,2015/01/04,竹山,2.3,0.49,33.9,88.0,34.07998289136014,16.48,2.2,14.28,1.11,16.43,66.6
3748.0,南投縣,2015/01/03,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,56.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3749.0,南投縣,2015/01/03,南投,2.9,0.68,22.9,102.0,34.07998289136014,29.17,7.04,22.14,1.1,17.03,69.22
3750.0,南投縣,2015/01/03,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,69.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3751.0,南投縣,2015/01/03,埔里,2.2,0.65,33.2,90.0,34.07998289136014,19.81,1.48,18.32,1.17,16.25,65.98
3752.0,南投縣,2015/01/03,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,75.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3753.0,南投縣,2015/01/03,竹山,2.0,0.54,29.6,111.0,34.07998289136014,19.05,2.61,16.45,1.2,15.66,68.94
3754.0,南投縣,2015/01/02,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,33.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3755.0,南投縣,2015/01/02,南投,3.1,0.59,19.5,77.0,34.07998289136014,28.12,6.81,21.3,1.14,14.83,66.49
3756.0,南投縣,2015/01/02,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,56.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3757.0,南投縣,2015/01/02,埔里,2.1,0.57,33.0,79.0,34.07998289136014,17.0,1.91,15.06,1.48,14.59,68.33
3758.0,南投縣,2015/01/02,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,56.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3759.0,南投縣,2015/01/02,竹山,2.4,0.49,25.5,94.0,34.07998289136014,21.66,3.56,18.1,1.16,13.58,65.46
3760.0,南投縣,2015/01/01,南投,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,37.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3761.0,南投縣,2015/01/01,南投,1.8,0.58,21.9,82.0,34.07998289136014,24.54,6.05,18.49,1.63,14.96,67.52
3762.0,南投縣,2015/01/01,埔里,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,46.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3763.0,南投縣,2015/01/01,埔里,2.0,0.6,30.9,65.0,34.07998289136014,19.73,3.03,16.7,1.35,14.25,67.45
3764.0,南投縣,2015/01/01,竹山,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,50.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3765.0,南投縣,2015/01/01,竹山,3.0,0.46,30.0,82.0,34.07998289136014,18.36,1.88,16.45,1.34,13.98,65.17
3766.0,雲林縣,2015/01/31,斗六,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,26.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3767.0,雲林縣,2015/01/31,斗六,2.5,0.47,25.3,49.0,34.07998289136014,19.66,2.1,17.56,2.19,17.43,71.55
3768.0,雲林縣,2015/01/31,崙背,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,25.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3769.0,雲林縣,2015/01/31,崙背,3.4,0.49,25.2,55.0,34.07998289136014,13.77,1.61,12.16,4.44,15.52,74.78
3770.0,雲林縣,2015/01/31,麥寮,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,24.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3771.0,雲林縣,2015/01/31,麥寮,3.6,0.44,31.5,81.0,34.07998289136014,13.18,2.77,10.41,6.5,16.2,77.8
3772.0,雲林縣,2015/01/31,臺西,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,21.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3773.0,雲林縣,2015/01/31,臺西,1.7,0.4,36.9,68.8,34.07998289136014,6.84,0.64,6.18,10.59,15.57,82.19
3774.0,雲林縣,2015/01/30,斗六,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,25.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3775.0,雲林縣,2015/01/30,斗六,2.7,0.32,19.4,55.0,34.07998289136014,19.76,1.53,18.23,2.31,18.7,78.07
3776.0,雲林縣,2015/01/30,崙背,3.486537634408602,0.5538766709788703,31.225284339457566,68.8,22.0,24.49018486672399,6.15920894239037,18.32768271711092,2.6251324651998202,17.116743780008733,69.75121397379911
3777.0,雲林縣,2015/01/30,崙背,2.5,0.31,22.4,53.0,34.07998289136014,12.34,1.36,10.96,4.42,17.03,80.33
