SITEID,COUNTYID,PSI,DATACREATIONDATE
201,63000,28.0,2015/2/27
291,68000,24.0,2015/2/27
292,68000,35.0,2015/2/27
202,68000,36.0,2015/2/27
293,68000,29.0,2015/2/27
294,68000,25.0,2015/2/27
295,10004,34.0,2015/2/27
296,10004,24.0,2015/2/27
297,10018,29.0,2015/2/27
203,10005,35.0,2015/2/27
241,10005,36.0,2015/2/27
242,10005,17.0,2015/2/27
243,66000,20.0,2015/2/27
244,66000,44.0,2015/2/27
245,66000,49.0,2015/2/27
246,66000,38.0,2015/2/27
247,66000,37.0,2015/2/27
248,10007,38.0,2015/2/27
204,10007,36.0,2015/2/27
249,10007,41.0,2015/2/27
296,10004,56.0,2015/2/22
297,10018,58.0,2015/2/22
203,10005,68.0,2015/2/22
241,10005,66.0,2015/2/22
242,10005,28.0,2015/2/22
243,66000,,2015/2/22
244,66000,49.0,2015/2/22
245,66000,28.0,2015/2/22
246,66000,33.0,2015/2/22
247,66000,39.0,2015/2/22
248,10007,28.0,2015/2/22
204,10007,58.0,2015/2/22
249,10007,47.0,2015/2/22
250,10008,39.0,2015/2/22
251,10009,26.0,2015/2/22
252,10009,33.0,2015/2/22
284,65000,36.0,2015/2/27
285,65000,30.0,2015/2/27
286,63000,19.0,2015/2/27
287,63000,28.0,2015/2/27
220,9020,48.0,2015/2/25
221,10016,32.0,2015/2/25
223,10014,25.0,2015/2/25
367625,10009,,2015/2/25
276,10017,25.0,2015/2/25
277,65000,40.0,2015/2/25
278,65000,32.0,2015/2/25
279,65000,37.0,2015/2/25
280,65000,,2015/2/25
281,65000,60.0,2015/2/25
282,65000,56.0,2015/2/25
283,65000,66.0,2015/2/25
284,65000,,2015/2/25
250,10008,49.0,2015/3/01
251,10009,47.0,2015/3/01
252,10009,48.0,2015/3/01
278,65000,44.0,2015/2/28
279,65000,37.0,2015/2/28
280,65000,38.0,2015/2/28
281,65000,39.0,2015/2/28
282,65000,34.0,2015/2/28
283,65000,33.0,2015/2/28
284,65000,26.0,2015/2/28
285,65000,26.0,2015/2/28
286,63000,22.0,2015/2/28
287,63000,48.0,2015/2/28
288,63000,26.0,2015/2/28
289,63000,44.0,2015/2/28
290,63000,21.0,2015/2/28
201,63000,40.0,2015/2/28
291,68000,30.0,2015/2/28
292,68000,29.0,2015/2/28
202,68000,58.0,2015/2/28
284,65000,72.0,2015/3/03
